   1: notes = 100000000000, scaleid = A01, rotationid = 0, modeid = A001, inverse = A001, scalename = C
1070: notes = 110101000111, scaleid = G07, rotationid = 3, modeid = G181, inverse = G051, scalename = 1224111
1071: notes = 101010001111, scaleid = G07, rotationid = 4, modeid = G357, inverse = G017, scalename = 2241111
1072: notes = 101000111110, scaleid = G07, rotationid = 5, modeid = G373, inverse = G256, scalename = 2411112
1073: notes = 100011111010, scaleid = G07, rotationid = 6, modeid = G436, inverse = G323, scalename = 4111122
1074: notes = 111110100100, scaleid = G08, rotationid = 0, modeid = G009, inverse = G433, scalename = 1111233
1075: notes = 111101001001, scaleid = G08, rotationid = 1, modeid = G033, inverse = G230, scalename = 1112331
1076: notes = 111010010011, scaleid = G08, rotationid = 2, modeid = G087, inverse = G110, scalename = 1123311
1077: notes = 110100100111, scaleid = G08, rotationid = 3, modeid = G191, inverse = G045, scalename = 1233111
1078: notes = 101001001111, scaleid = G08, rotationid = 4, modeid = G372, inverse = G014, scalename = 2331111
1079: notes = 100100111110, scaleid = G08, rotationid = 5, modeid = G429, inverse = G255, scalename = 3311112
1080: notes = 100111110100, scaleid = G08, rotationid = 6, modeid = G380, inverse = G414, scalename = 3111123
1081: notes = 111110100010, scaleid = G09, rotationid = 0, modeid = G010, inverse = G377, scalename = 1111242
1082: notes = 111101000101, scaleid = G09, rotationid = 1, modeid = G035, inverse = G195, scalename = 1112421
1083: notes = 111010001011, scaleid = G09, rotationid = 2, modeid = G090, inverse = G090, scalename = 1124211
1084: notes = 110100010111, scaleid = G09, rotationid = 3, modeid = G195, inverse = G035, scalename = 1242111
1085: notes = 101000101111, scaleid = G09, rotationid = 4, modeid = G377, inverse = G010, scalename = 2421111
1086: notes = 100010111110, scaleid = G09, rotationid = 5, modeid = G450, inverse = G254, scalename = 4211112
1087: notes = 101111101000, scaleid = G09, rotationid = 6, modeid = G254, inverse = G450, scalename = 2111124
1088: notes = 111110011000, scaleid = G10, rotationid = 0, modeid = G012, inverse = G449, scalename = 1111314
1089: notes = 111100110001, scaleid = G10, rotationid = 1, modeid = G040, inverse = G241, scalename = 1113141
1090: notes = 111001100011, scaleid = G10, rotationid = 2, modeid = G101, inverse = G117, scalename = 1131411
1091: notes = 110011000111, scaleid = G10, rotationid = 3, modeid = G216, inverse = G049, scalename = 1314111
1092: notes = 100110001111, scaleid = G10, rotationid = 4, modeid = G413, inverse = G016, scalename = 3141111
1093: notes = 110001111100, scaleid = G10, rotationid = 5, modeid = G232, inverse = G382, scalename = 1411113
1094: notes = 100011111001, scaleid = G10, rotationid = 6, modeid = G437, inverse = G197, scalename = 4111131
1095: notes = 111110010100, scaleid = G11, rotationid = 0, modeid = G013, inverse = G428, scalename = 1111323
1096: notes = 111100101001, scaleid = G11, rotationid = 1, modeid = G043, inverse = G226, scalename = 1113231
1097: notes = 111001010011, scaleid = G11, rotationid = 2, modeid = G107, inverse = G107, scalename = 1132311
1098: notes = 110010100111, scaleid = G11, rotationid = 3, modeid = G226, inverse = G043, scalename = 1323111
1099: notes = 100101001111, scaleid = G11, rotationid = 4, modeid = G428, inverse = G013, scalename = 3231111
1100: notes = 101001111100, scaleid = G11, rotationid = 5, modeid = G358, inverse = G381, scalename = 2311113
1101: notes = 100111110010, scaleid = G11, rotationid = 6, modeid = G381, inverse = G358, scalename = 3111132
1102: notes = 111110010010, scaleid = G12, rotationid = 0, modeid = G014, inverse = G372, scalename = 1111332
1103: notes = 111100100101, scaleid = G12, rotationid = 1, modeid = G045, inverse = G191, scalename = 1113321
1104: notes = 111001001011, scaleid = G12, rotationid = 2, modeid = G110, inverse = G087, scalename = 1133211
1105: notes = 110010010111, scaleid = G12, rotationid = 3, modeid = G230, inverse = G033, scalename = 1332111
1106: notes = 100100101111, scaleid = G12, rotationid = 4, modeid = G433, inverse = G009, scalename = 3321111
1107: notes = 100101111100, scaleid = G12, rotationid = 5, modeid = G414, inverse = G380, scalename = 3211113
1108: notes = 101111100100, scaleid = G12, rotationid = 6, modeid = G255, inverse = G429, scalename = 2111133
1109: notes = 111110001100, scaleid = G13, rotationid = 0, modeid = G016, inverse = G413, scalename = 1111413
1110: notes = 111100011001, scaleid = G13, rotationid = 1, modeid = G049, inverse = G216, scalename = 1114131
1111: notes = 111000110011, scaleid = G13, rotationid = 2, modeid = G117, inverse = G101, scalename = 1141311
1112: notes = 110001100111, scaleid = G13, rotationid = 3, modeid = G241, inverse = G040, scalename = 1413111
1113: notes = 100011001111, scaleid = G13, rotationid = 4, modeid = G449, inverse = G012, scalename = 4131111
1114: notes = 110011111000, scaleid = G13, rotationid = 5, modeid = G197, inverse = G437, scalename = 1311114
1115: notes = 100111110001, scaleid = G13, rotationid = 6, modeid = G382, inverse = G232, scalename = 3111141
1116: notes = 111110001010, scaleid = G14, rotationid = 0, modeid = G017, inverse = G357, scalename = 1111422
1117: notes = 111100010101, scaleid = G14, rotationid = 1, modeid = G051, inverse = G181, scalename = 1114221
1118: notes = 111000101011, scaleid = G14, rotationid = 2, modeid = G120, inverse = G081, scalename = 1142211
1119: notes = 110001010111, scaleid = G14, rotationid = 3, modeid = G245, inverse = G030, scalename = 1422111
1120: notes = 100010101111, scaleid = G14, rotationid = 4, modeid = G454, inverse = G008, scalename = 4221111
1121: notes = 101011111000, scaleid = G14, rotationid = 5, modeid = G323, inverse = G436, scalename = 2211114
1122: notes = 101111100010, scaleid = G14, rotationid = 6, modeid = G256, inverse = G373, scalename = 2111142
1123: notes = 111110000110, scaleid = G15, rotationid = 0, modeid = G019, inverse = G322, scalename = 1111512
1124: notes = 111100001101, scaleid = G15, rotationid = 1, modeid = G054, inverse = G161, scalename = 1115121
1125: notes = 111000011011, scaleid = G15, rotationid = 2, modeid = G124, inverse = G071, scalename = 1151211
1126: notes = 110000110111, scaleid = G15, rotationid = 3, modeid = G250, inverse = G026, scalename = 1512111
1127: notes = 100001101111, scaleid = G15, rotationid = 4, modeid = G460, inverse = G007, scalename = 5121111
1128: notes = 110111110000, scaleid = G15, rotationid = 5, modeid = G127, inverse = G457, scalename = 1211115
1129: notes = 101111100001, scaleid = G15, rotationid = 6, modeid = G257, inverse = G247, scalename = 2111151
1130: notes = 111101110000, scaleid = G16, rotationid = 0, modeid = G022, inverse = G459, scalename = 1112115
1131: notes = 111011100001, scaleid = G16, rotationid = 1, modeid = G061, inverse = G249, scalename = 1121151
1132: notes = 110111000011, scaleid = G16, rotationid = 2, modeid = G141, inverse = G123, scalename = 1211511
1133: notes = 101110000111, scaleid = G16, rotationid = 3, modeid = G287, inverse = G053, scalename = 2115111
1134: notes = 111000011110, scaleid = G16, rotationid = 4, modeid = G122, inverse = G267, scalename = 1151112
1135: notes = 110000111101, scaleid = G16, rotationid = 5, modeid = G248, inverse = G131, scalename = 1511121
1136: notes = 100001111011, scaleid = G16, rotationid = 6, modeid = G458, inverse = G057, scalename = 5111211
1137: notes = 111101101000, scaleid = G17, rotationid = 0, modeid = G023, inverse = G453, scalename = 1112124
1138: notes = 111011010001, scaleid = G17, rotationid = 1, modeid = G065, inverse = G244, scalename = 1121241
1139: notes = 110110100011, scaleid = G17, rotationid = 2, modeid = G151, inverse = G119, scalename = 1212411
1140: notes = 101101000111, scaleid = G17, rotationid = 3, modeid = G307, inverse = G050, scalename = 2124111
1141: notes = 110100011110, scaleid = G17, rotationid = 4, modeid = G192, inverse = G266, scalename = 1241112
1142: notes = 101000111101, scaleid = G17, rotationid = 5, modeid = G374, inverse = G130, scalename = 2411121
1143: notes = 100011110110, scaleid = G17, rotationid = 6, modeid = G438, inverse = G288, scalename = 4111212
1144: notes = 111101100100, scaleid = G18, rotationid = 0, modeid = G024, inverse = G432, scalename = 1112133
1145: notes = 111011001001, scaleid = G18, rotationid = 1, modeid = G068, inverse = G229, scalename = 1121331
1146: notes = 110110010011, scaleid = G18, rotationid = 2, modeid = G157, inverse = G109, scalename = 1213311
1147: notes = 101100100111, scaleid = G18, rotationid = 3, modeid = G317, inverse = G044, scalename = 2133111
1148: notes = 110010011110, scaleid = G18, rotationid = 4, modeid = G227, inverse = G264, scalename = 1331112
1149: notes = 100100111101, scaleid = G18, rotationid = 5, modeid = G430, inverse = G129, scalename = 3311121
1150: notes = 100111101100, scaleid = G18, rotationid = 6, modeid = G383, inverse = G399, scalename = 3111213
1151: notes = 111101100010, scaleid = G19, rotationid = 0, modeid = G025, inverse = G376, scalename = 1112142
1152: notes = 111011000101, scaleid = G19, rotationid = 1, modeid = G070, inverse = G194, scalename = 1121421
1153: notes = 110110001011, scaleid = G19, rotationid = 2, modeid = G160, inverse = G089, scalename = 1214211
1154: notes = 101100010111, scaleid = G19, rotationid = 3, modeid = G321, inverse = G034, scalename = 2142111
1155: notes = 110001011110, scaleid = G19, rotationid = 4, modeid = G242, inverse = G261, scalename = 1421112
1156: notes = 100010111101, scaleid = G19, rotationid = 5, modeid = G451, inverse = G128, scalename = 4211121
1157: notes = 101111011000, scaleid = G19, rotationid = 6, modeid = G258, inverse = G445, scalename = 2111214
1158: notes = 111101011000, scaleid = G20, rotationid = 0, modeid = G027, inverse = G448, scalename = 1112214
1159: notes = 111010110001, scaleid = G20, rotationid = 1, modeid = G075, inverse = G240, scalename = 1122141
1160: notes = 110101100011, scaleid = G20, rotationid = 2, modeid = G171, inverse = G116, scalename = 1221411
1161: notes = 101011000111, scaleid = G20, rotationid = 3, modeid = G342, inverse = G048, scalename = 2214111
1162: notes = 101100011110, scaleid = G20, rotationid = 4, modeid = G318, inverse = G265, scalename = 2141112
1163: notes = 110001111010, scaleid = G20, rotationid = 5, modeid = G233, inverse = G326, scalename = 1411122
1164: notes = 100011110101, scaleid = G20, rotationid = 6, modeid = G439, inverse = G162, scalename = 4111221
1165: notes = 111101010100, scaleid = G21, rotationid = 0, modeid = G028, inverse = G427, scalename = 1112223
1166: notes = 111010101001, scaleid = G21, rotationid = 1, modeid = G078, inverse = G225, scalename = 1122231
1167: notes = 110101010011, scaleid = G21, rotationid = 2, modeid = G177, inverse = G106, scalename = 1222311
1168: notes = 101010100111, scaleid = G21, rotationid = 3, modeid = G352, inverse = G042, scalename = 2223111
1169: notes = 101010011110, scaleid = G21, rotationid = 4, modeid = G353, inverse = G263, scalename = 2231112
1170: notes = 101001111010, scaleid = G21, rotationid = 5, modeid = G359, inverse = G325, scalename = 2311122
1171: notes = 100111101010, scaleid = G21, rotationid = 6, modeid = G384, inverse = G343, scalename = 3111222
1172: notes = 111101010010, scaleid = G22, rotationid = 0, modeid = G029, inverse = G371, scalename = 1112232
1173: notes = 111010100101, scaleid = G22, rotationid = 1, modeid = G080, inverse = G190, scalename = 1122321
1174: notes = 110101001011, scaleid = G22, rotationid = 2, modeid = G180, inverse = G086, scalename = 1223211
1175: notes = 101010010111, scaleid = G22, rotationid = 3, modeid = G356, inverse = G032, scalename = 2232111
1176: notes = 101001011110, scaleid = G22, rotationid = 4, modeid = G368, inverse = G260, scalename = 2321112
1177: notes = 100101111010, scaleid = G22, rotationid = 5, modeid = G415, inverse = G324, scalename = 3211122
1178: notes = 101111010100, scaleid = G22, rotationid = 6, modeid = G259, inverse = G424, scalename = 2111223
1179: notes = 111101001100, scaleid = G23, rotationid = 0, modeid = G031, inverse = G412, scalename = 1112313
1180: notes = 111010011001, scaleid = G23, rotationid = 1, modeid = G084, inverse = G215, scalename = 1123131
1181: notes = 110100110011, scaleid = G23, rotationid = 2, modeid = G187, inverse = G100, scalename = 1231311
1182: notes = 101001100111, scaleid = G23, rotationid = 3, modeid = G367, inverse = G039, scalename = 2313111
1183: notes = 100110011110, scaleid = G23, rotationid = 4, modeid = G409, inverse = G262, scalename = 3131112
1184: notes = 110011110100, scaleid = G23, rotationid = 5, modeid = G198, inverse = G416, scalename = 1311123
1185: notes = 100111101001, scaleid = G23, rotationid = 6, modeid = G385, inverse = G217, scalename = 3111231
1186: notes = 111101001010, scaleid = G24, rotationid = 0, modeid = G032, inverse = G356, scalename = 1112322
1187: notes = 111010010101, scaleid = G24, rotationid = 1, modeid = G086, inverse = G180, scalename = 1123221
1188: notes = 110100101011, scaleid = G24, rotationid = 2, modeid = G190, inverse = G080, scalename = 1232211
1189: notes = 101001010111, scaleid = G24, rotationid = 3, modeid = G371, inverse = G029, scalename = 2322111
1190: notes = 100101011110, scaleid = G24, rotationid = 4, modeid = G424, inverse = G259, scalename = 3221112
1191: notes = 101011110100, scaleid = G24, rotationid = 5, modeid = G324, inverse = G415, scalename = 2211123
1192: notes = 101111010010, scaleid = G24, rotationid = 6, modeid = G260, inverse = G368, scalename = 2111232
1193: notes = 111101000110, scaleid = G25, rotationid = 0, modeid = G034, inverse = G321, scalename = 1112412
1194: notes = 111010001101, scaleid = G25, rotationid = 1, modeid = G089, inverse = G160, scalename = 1124121
1195: notes = 110100011011, scaleid = G25, rotationid = 2, modeid = G194, inverse = G070, scalename = 1241211
1196: notes = 101000110111, scaleid = G25, rotationid = 3, modeid = G376, inverse = G025, scalename = 2412111
1197: notes = 100011011110, scaleid = G25, rotationid = 4, modeid = G445, inverse = G258, scalename = 4121112
1198: notes = 110111101000, scaleid = G25, rotationid = 5, modeid = G128, inverse = G451, scalename = 1211124
1199: notes = 101111010001, scaleid = G25, rotationid = 6, modeid = G261, inverse = G242, scalename = 2111241
1200: notes = 111100111000, scaleid = G26, rotationid = 0, modeid = G037, inverse = G444, scalename = 1113114
1201: notes = 111001110001, scaleid = G26, rotationid = 1, modeid = G095, inverse = G237, scalename = 1131141
1202: notes = 110011100011, scaleid = G26, rotationid = 2, modeid = G206, inverse = G114, scalename = 1311411
1203: notes = 100111000111, scaleid = G26, rotationid = 3, modeid = G398, inverse = G047, scalename = 3114111
1204: notes = 111000111100, scaleid = G26, rotationid = 4, modeid = G112, inverse = G388, scalename = 1141113
1205: notes = 110001111001, scaleid = G26, rotationid = 5, modeid = G234, inverse = G200, scalename = 1411131
1206: notes = 100011110011, scaleid = G26, rotationid = 6, modeid = G440, inverse = G092, scalename = 4111311
1207: notes = 111100110100, scaleid = G27, rotationid = 0, modeid = G038, inverse = G423, scalename = 1113123
1208: notes = 111001101001, scaleid = G27, rotationid = 1, modeid = G098, inverse = G222, scalename = 1131231
1209: notes = 110011010011, scaleid = G27, rotationid = 2, modeid = G212, inverse = G104, scalename = 1312311
1210: notes = 100110100111, scaleid = G27, rotationid = 3, modeid = G408, inverse = G041, scalename = 3123111
1211: notes = 110100111100, scaleid = G27, rotationid = 4, modeid = G182, inverse = G387, scalename = 1231113
1212: notes = 101001111001, scaleid = G27, rotationid = 5, modeid = G360, inverse = G199, scalename = 2311131
1213: notes = 100111100110, scaleid = G27, rotationid = 6, modeid = G386, inverse = G308, scalename = 3111312
1214: notes = 111100110010, scaleid = G28, rotationid = 0, modeid = G039, inverse = G367, scalename = 1113132
1215: notes = 111001100101, scaleid = G28, rotationid = 1, modeid = G100, inverse = G187, scalename = 1131321
1216: notes = 110011001011, scaleid = G28, rotationid = 2, modeid = G215, inverse = G084, scalename = 1313211
1217: notes = 100110010111, scaleid = G28, rotationid = 3, modeid = G412, inverse = G031, scalename = 3132111
1218: notes = 110010111100, scaleid = G28, rotationid = 4, modeid = G217, inverse = G385, scalename = 1321113
1219: notes = 100101111001, scaleid = G28, rotationid = 5, modeid = G416, inverse = G198, scalename = 3211131
1220: notes = 101111001100, scaleid = G28, rotationid = 6, modeid = G262, inverse = G409, scalename = 2111313
1221: notes = 111100101100, scaleid = G29, rotationid = 0, modeid = G041, inverse = G408, scalename = 1113213
1222: notes = 111001011001, scaleid = G29, rotationid = 1, modeid = G104, inverse = G212, scalename = 1132131
1223: notes = 110010110011, scaleid = G29, rotationid = 2, modeid = G222, inverse = G098, scalename = 1321311
1224: notes = 100101100111, scaleid = G29, rotationid = 3, modeid = G423, inverse = G038, scalename = 3213111
1225: notes = 101100111100, scaleid = G29, rotationid = 4, modeid = G308, inverse = G386, scalename = 2131113
1226: notes = 110011110010, scaleid = G29, rotationid = 5, modeid = G199, inverse = G360, scalename = 1311132
1227: notes = 100111100101, scaleid = G29, rotationid = 6, modeid = G387, inverse = G182, scalename = 3111321
1228: notes = 111100101010, scaleid = G30, rotationid = 0, modeid = G042, inverse = G352, scalename = 1113222
1229: notes = 111001010101, scaleid = G30, rotationid = 1, modeid = G106, inverse = G177, scalename = 1132221
1230: notes = 110010101011, scaleid = G30, rotationid = 2, modeid = G225, inverse = G078, scalename = 1322211
1231: notes = 100101010111, scaleid = G30, rotationid = 3, modeid = G427, inverse = G028, scalename = 3222111
1232: notes = 101010111100, scaleid = G30, rotationid = 4, modeid = G343, inverse = G384, scalename = 2221113
1233: notes = 101011110010, scaleid = G30, rotationid = 5, modeid = G325, inverse = G359, scalename = 2211132
1234: notes = 101111001010, scaleid = G30, rotationid = 6, modeid = G263, inverse = G353, scalename = 2111322
1235: notes = 111100100110, scaleid = G31, rotationid = 0, modeid = G044, inverse = G317, scalename = 1113312
1236: notes = 111001001101, scaleid = G31, rotationid = 1, modeid = G109, inverse = G157, scalename = 1133121
1237: notes = 110010011011, scaleid = G31, rotationid = 2, modeid = G229, inverse = G068, scalename = 1331211
1238: notes = 100100110111, scaleid = G31, rotationid = 3, modeid = G432, inverse = G024, scalename = 3312111
1239: notes = 100110111100, scaleid = G31, rotationid = 4, modeid = G399, inverse = G383, scalename = 3121113
1240: notes = 110111100100, scaleid = G31, rotationid = 5, modeid = G129, inverse = G430, scalename = 1211133
1241: notes = 101111001001, scaleid = G31, rotationid = 6, modeid = G264, inverse = G227, scalename = 2111331
1242: notes = 111100011100, scaleid = G32, rotationid = 0, modeid = G047, inverse = G398, scalename = 1114113
1243: notes = 111000111001, scaleid = G32, rotationid = 1, modeid = G114, inverse = G206, scalename = 1141131
1244: notes = 110001110011, scaleid = G32, rotationid = 2, modeid = G237, inverse = G095, scalename = 1411311
1245: notes = 100011100111, scaleid = G32, rotationid = 3, modeid = G444, inverse = G037, scalename = 4113111
1246: notes = 111001111000, scaleid = G32, rotationid = 4, modeid = G092, inverse = G440, scalename = 1131114
1247: notes = 110011110001, scaleid = G32, rotationid = 5, modeid = G200, inverse = G234, scalename = 1311141
1248: notes = 100111100011, scaleid = G32, rotationid = 6, modeid = G388, inverse = G112, scalename = 3111411
1249: notes = 111100011010, scaleid = G33, rotationid = 0, modeid = G048, inverse = G342, scalename = 1114122
1250: notes = 111000110101, scaleid = G33, rotationid = 1, modeid = G116, inverse = G171, scalename = 1141221
1251: notes = 110001101011, scaleid = G33, rotationid = 2, modeid = G240, inverse = G075, scalename = 1412211
1252: notes = 100011010111, scaleid = G33, rotationid = 3, modeid = G448, inverse = G027, scalename = 4122111
1253: notes = 110101111000, scaleid = G33, rotationid = 4, modeid = G162, inverse = G439, scalename = 1221114
1254: notes = 101011110001, scaleid = G33, rotationid = 5, modeid = G326, inverse = G233, scalename = 2211141
1255: notes = 101111000110, scaleid = G33, rotationid = 6, modeid = G265, inverse = G318, scalename = 2111412
1256: notes = 111100010110, scaleid = G34, rotationid = 0, modeid = G050, inverse = G307, scalename = 1114212
1257: notes = 111000101101, scaleid = G34, rotationid = 1, modeid = G119, inverse = G151, scalename = 1142121
1258: notes = 110001011011, scaleid = G34, rotationid = 2, modeid = G244, inverse = G065, scalename = 1421211
1259: notes = 100010110111, scaleid = G34, rotationid = 3, modeid = G453, inverse = G023, scalename = 4212111
1260: notes = 101101111000, scaleid = G34, rotationid = 4, modeid = G288, inverse = G438, scalename = 2121114
1261: notes = 110111100010, scaleid = G34, rotationid = 5, modeid = G130, inverse = G374, scalename = 1211142
1262: notes = 101111000101, scaleid = G34, rotationid = 6, modeid = G266, inverse = G192, scalename = 2111421
1263: notes = 111100001110, scaleid = G35, rotationid = 0, modeid = G053, inverse = G287, scalename = 1115112
1264: notes = 111000011101, scaleid = G35, rotationid = 1, modeid = G123, inverse = G141, scalename = 1151121
1265: notes = 110000111011, scaleid = G35, rotationid = 2, modeid = G249, inverse = G061, scalename = 1511211
1266: notes = 100001110111, scaleid = G35, rotationid = 3, modeid = G459, inverse = G022, scalename = 5112111
1267: notes = 111011110000, scaleid = G35, rotationid = 4, modeid = G057, inverse = G458, scalename = 1121115
1268: notes = 110111100001, scaleid = G35, rotationid = 5, modeid = G131, inverse = G248, scalename = 1211151
1269: notes = 101111000011, scaleid = G35, rotationid = 6, modeid = G267, inverse = G122, scalename = 2111511
1270: notes = 111011101000, scaleid = G36, rotationid = 0, modeid = G058, inverse = G452, scalename = 1121124
1271: notes = 110111010001, scaleid = G36, rotationid = 1, modeid = G135, inverse = G243, scalename = 1211241
1272: notes = 101110100011, scaleid = G36, rotationid = 2, modeid = G277, inverse = G118, scalename = 2112411
1273: notes = 111010001110, scaleid = G36, rotationid = 3, modeid = G088, inverse = G286, scalename = 1124112
1274: notes = 110100011101, scaleid = G36, rotationid = 4, modeid = G193, inverse = G140, scalename = 1241121
1275: notes = 101000111011, scaleid = G36, rotationid = 5, modeid = G375, inverse = G060, scalename = 2411211
1276: notes = 100011101110, scaleid = G36, rotationid = 6, modeid = G441, inverse = G268, scalename = 4112112
1277: notes = 111011100100, scaleid = G37, rotationid = 0, modeid = G059, inverse = G431, scalename = 1121133
1278: notes = 110111001001, scaleid = G37, rotationid = 1, modeid = G138, inverse = G228, scalename = 1211331
1279: notes = 101110010011, scaleid = G37, rotationid = 2, modeid = G283, inverse = G108, scalename = 2113311
1280: notes = 111001001110, scaleid = G37, rotationid = 3, modeid = G108, inverse = G283, scalename = 1133112
1281: notes = 110010011101, scaleid = G37, rotationid = 4, modeid = G228, inverse = G138, scalename = 1331121
1282: notes = 100100111011, scaleid = G37, rotationid = 5, modeid = G431, inverse = G059, scalename = 3311211
1283: notes = 100111011100, scaleid = G37, rotationid = 6, modeid = G389, inverse = G389, scalename = 3112113
1284: notes = 111011100010, scaleid = G38, rotationid = 0, modeid = G060, inverse = G375, scalename = 1121142
1285: notes = 110111000101, scaleid = G38, rotationid = 1, modeid = G140, inverse = G193, scalename = 1211421
1286: notes = 101110001011, scaleid = G38, rotationid = 2, modeid = G286, inverse = G088, scalename = 2114211
1287: notes = 111000101110, scaleid = G38, rotationid = 3, modeid = G118, inverse = G277, scalename = 1142112
1288: notes = 110001011101, scaleid = G38, rotationid = 4, modeid = G243, inverse = G135, scalename = 1421121
1289: notes = 100010111011, scaleid = G38, rotationid = 5, modeid = G452, inverse = G058, scalename = 4211211
1290: notes = 101110111000, scaleid = G38, rotationid = 6, modeid = G268, inverse = G441, scalename = 2112114
1291: notes = 111011011000, scaleid = G39, rotationid = 0, modeid = G062, inverse = G447, scalename = 1121214
1292: notes = 110110110001, scaleid = G39, rotationid = 1, modeid = G145, inverse = G239, scalename = 1212141
1293: notes = 101101100011, scaleid = G39, rotationid = 2, modeid = G297, inverse = G115, scalename = 2121411
1294: notes = 110110001110, scaleid = G39, rotationid = 3, modeid = G158, inverse = G285, scalename = 1214112
1295: notes = 101100011101, scaleid = G39, rotationid = 4, modeid = G319, inverse = G139, scalename = 2141121
1296: notes = 110001110110, scaleid = G39, rotationid = 5, modeid = G235, inverse = G291, scalename = 1411212
1297: notes = 100011101101, scaleid = G39, rotationid = 6, modeid = G442, inverse = G142, scalename = 4112121
1298: notes = 111011010100, scaleid = G40, rotationid = 0, modeid = G063, inverse = G426, scalename = 1121223
1299: notes = 110110101001, scaleid = G40, rotationid = 1, modeid = G148, inverse = G224, scalename = 1212231
1300: notes = 101101010011, scaleid = G40, rotationid = 2, modeid = G303, inverse = G105, scalename = 2122311
1301: notes = 110101001110, scaleid = G40, rotationid = 3, modeid = G178, inverse = G282, scalename = 1223112
1302: notes = 101010011101, scaleid = G40, rotationid = 4, modeid = G354, inverse = G137, scalename = 2231121
1303: notes = 101001110110, scaleid = G40, rotationid = 5, modeid = G361, inverse = G290, scalename = 2311212
1304: notes = 100111011010, scaleid = G40, rotationid = 6, modeid = G390, inverse = G333, scalename = 3112122
1305: notes = 111011010010, scaleid = G41, rotationid = 0, modeid = G064, inverse = G370, scalename = 1121232
1306: notes = 110110100101, scaleid = G41, rotationid = 1, modeid = G150, inverse = G189, scalename = 1212321
1307: notes = 101101001011, scaleid = G41, rotationid = 2, modeid = G306, inverse = G085, scalename = 2123211
1308: notes = 110100101110, scaleid = G41, rotationid = 3, modeid = G188, inverse = G276, scalename = 1232112
1309: notes = 101001011101, scaleid = G41, rotationid = 4, modeid = G369, inverse = G134, scalename = 2321121
1310: notes = 100101110110, scaleid = G41, rotationid = 5, modeid = G417, inverse = G289, scalename = 3211212
1311: notes = 101110110100, scaleid = G41, rotationid = 6, modeid = G269, inverse = G420, scalename = 2112123
1312: notes = 111011001100, scaleid = G42, rotationid = 0, modeid = G066, inverse = G411, scalename = 1121313
1313: notes = 110110011001, scaleid = G42, rotationid = 1, modeid = G154, inverse = G214, scalename = 1213131
1314: notes = 101100110011, scaleid = G42, rotationid = 2, modeid = G313, inverse = G099, scalename = 2131311
1315: notes = 110011001110, scaleid = G42, rotationid = 3, modeid = G213, inverse = G280, scalename = 1313112
1316: notes = 100110011101, scaleid = G42, rotationid = 4, modeid = G410, inverse = G136, scalename = 3131121
1317: notes = 110011101100, scaleid = G42, rotationid = 5, modeid = G201, inverse = G401, scalename = 1311213
1318: notes = 100111011001, scaleid = G42, rotationid = 6, modeid = G391, inverse = G207, scalename = 3112131
1319: notes = 111011001010, scaleid = G43, rotationid = 0, modeid = G067, inverse = G355, scalename = 1121322
1320: notes = 110110010101, scaleid = G43, rotationid = 1, modeid = G156, inverse = G179, scalename = 1213221
1321: notes = 101100101011, scaleid = G43, rotationid = 2, modeid = G316, inverse = G079, scalename = 2132211
1322: notes = 110010101110, scaleid = G43, rotationid = 3, modeid = G223, inverse = G274, scalename = 1322112
1323: notes = 100101011101, scaleid = G43, rotationid = 4, modeid = G425, inverse = G133, scalename = 3221121
1324: notes = 101011101100, scaleid = G43, rotationid = 5, modeid = G327, inverse = G400, scalename = 2211213
1325: notes = 101110110010, scaleid = G43, rotationid = 6, modeid = G270, inverse = G364, scalename = 2112132
1326: notes = 111011000110, scaleid = G44, rotationid = 0, modeid = G069, inverse = G320, scalename = 1121412
1327: notes = 110110001101, scaleid = G44, rotationid = 1, modeid = G159, inverse = G159, scalename = 1214121
1328: notes = 101100011011, scaleid = G44, rotationid = 2, modeid = G320, inverse = G069, scalename = 2141211
1329: notes = 110001101110, scaleid = G44, rotationid = 3, modeid = G238, inverse = G271, scalename = 1412112
1330: notes = 100011011101, scaleid = G44, rotationid = 4, modeid = G446, inverse = G132, scalename = 4121121
1331: notes = 110111011000, scaleid = G44, rotationid = 5, modeid = G132, inverse = G446, scalename = 1211214
1332: notes = 101110110001, scaleid = G44, rotationid = 6, modeid = G271, inverse = G238, scalename = 2112141
1333: notes = 111010111000, scaleid = G45, rotationid = 0, modeid = G072, inverse = G443, scalename = 1122114
1334: notes = 110101110001, scaleid = G45, rotationid = 1, modeid = G165, inverse = G236, scalename = 1221141
1335: notes = 101011100011, scaleid = G45, rotationid = 2, modeid = G332, inverse = G113, scalename = 2211411
1336: notes = 101110001110, scaleid = G45, rotationid = 3, modeid = G284, inverse = G284, scalename = 2114112
1337: notes = 111000111010, scaleid = G45, rotationid = 4, modeid = G113, inverse = G332, scalename = 1141122
1338: notes = 110001110101, scaleid = G45, rotationid = 5, modeid = G236, inverse = G165, scalename = 1411221
1339: notes = 100011101011, scaleid = G45, rotationid = 6, modeid = G443, inverse = G072, scalename = 4112211
1340: notes = 111010110100, scaleid = G46, rotationid = 0, modeid = G073, inverse = G422, scalename = 1122123
1341: notes = 110101101001, scaleid = G46, rotationid = 1, modeid = G168, inverse = G221, scalename = 1221231
1342: notes = 101011010011, scaleid = G46, rotationid = 2, modeid = G338, inverse = G103, scalename = 2212311
